512
512
276
236
4.224609

0      ---             ---   ---   ---  
1      ---             ---   ---   ---  
2      ---             ---   ---   ---  
3      rZemYMA         3     YES   1    
4      dKJzBDv         4     YES   1    
5      ---             ---   ---   ---  
6      FfALMwK         6     YES   1    
7      ---             ---   ---   ---  
8      ZbJycTZ         8     YES   1    
9      qvXBFci         9     YES   1    
10     nmuRREQ         10    YES   1    
11     wqLaWWq         10    NO    2    
12     TcWMUyu         12    YES   1    
13     QUKeUHL         12    NO    2    
14     ---             ---   ---   ---  
15     bUiUdkL         15    YES   1    
16     xajTESR         16    YES   1    
17     grnRMwp         16    NO    2    
18     ---             ---   ---   ---  
19     HTkurRD         19    YES   1    
20     ---             ---   ---   ---  
21     ---             ---   ---   ---  
22     vuxXNAD         22    YES   1    
23     ---             ---   ---   ---  
24     xEnUiPS         24    YES   1    
25     BYwpcAB         25    YES   1    
26     BjxgjLS         26    YES   1    
27     aWwGHCZ         26    NO    2    
28     diJhzVL         24    NO    5    
29     CTQJKvM         29    YES   1    
30     kkDCaxU         29    NO    2    
31     qYhGupW         30    NO    2    
32     kEEKRLN         25    NO    8    
33     ixVGKzC         28    NO    6    
34     wzvSDbm         33    NO    2    
35     NqngQkm         28    NO    8    
36     ---             ---   ---   ---  
37     ---             ---   ---   ---  
38     ---             ---   ---   ---  
39     kWLReHX         39    YES   1    
40     NtCBpGT         40    YES   1    
41     ---             ---   ---   ---  
42     UeJbikb         42    YES   1    
43     jvKuUfK         43    YES   1    
44     pxzRfnw         43    NO    2    
45     ---             ---   ---   ---  
46     ---             ---   ---   ---  
47     Mhdefae         47    YES   1    
48     vRQxuxM         48    YES   1    
49     ---             ---   ---   ---  
50     fyZUfKR         50    YES   1    
51     TuXRKAu         51    YES   1    
52     ZaLCyjY         51    NO    2    
53     PxjkREH         51    NO    3    
54     gwmXjSb         54    YES   1    
55     CVrkLPg         55    YES   1    
56     kLQwexg         53    NO    4    
57     hgVJkYz         55    NO    3    
58     nHLCKfd         54    NO    5    
59     UPdHcHX         59    YES   1    
60     qchMSDn         53    NO    8    
61     StGPSBF         61    YES   1    
62     rdrAfjU         62    YES   1    
63     pqaBiSS         63    YES   1    
64     XSNgikR         64    YES   1    
65     ZyqYEpM         65    YES   1    
66     DQpUKDw         66    YES   1    
67     kPtDLcX         62    NO    6    
68     CyeGghN         67    NO    2    
69     KrdpgFv         61    NO    9    
70     PJQjaWF         70    YES   1    
71     VEfjrzP         70    NO    2    
72     UHmrmbQ         71    NO    2    
73     WLnSGXc         70    NO    4    
74     yxjSMHh         69    NO    6    
75     ikrpNyr         75    YES   1    
76     XeWrfYa         56    NO    21   
77     KVQiehd         77    YES   1    
78     wQhgCev         77    NO    2    
79     CNHMfMz         79    YES   1    
80     GvzKDjC         80    YES   1    
81     xndNhjv         79    NO    3    
82     jmdkNLH         79    NO    4    
83     DyNENuF         70    NO    14   
84     tGvRzyj         56    NO    29   
85     RwtcGXi         85    YES   1    
86     JiZJNFG         86    YES   1    
87     hXKuZje         87    YES   1    
88     bMrTuMc         85    NO    4    
89     LcAitfU         87    NO    3    
90     KPmwBPq         87    NO    4    
91     SLGNwmQ         67    NO    25   
92     THfBJgn         92    YES   1    
93     AbFbWUG         57    NO    37   
94     kcypWqb         57    NO    38   
95     BGVCgUN         85    NO    11   
96     CQWTBBJ         66    NO    31   
97     ---             ---   ---   ---  
98     ---             ---   ---   ---  
99     BbMQQcK         99    YES   1    
100    VSSAVbd         100   YES   1    
101    hARfGwB         101   YES   1    
102    BnKqFCg         102   YES   1    
103    PPHcXSM         103   YES   1    
